id,budget,genres,title,popularity,release-date,revenue,rating
73,175000000,"['Fantasy', 'Comedy', 'Family']",Evan Almighty,27.082182,2007-06-09,173000000,5.3
74,178000000,"['Action', 'Science Fiction']",Edge of Tomorrow,79.456485,2014-05-27,370541256,7.6
75,175000000,"['Adventure', 'Action']",Waterworld,44.640292,1995-07-28,264218220,5.9
76,175000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",G.I. Joe: The Rise of Cobra,32.852443,2009-08-04,302469017,5.6
77,175000000,"['Drama', 'Comedy', 'Animation', 'Family']",Inside Out,128.655964,2015-06-09,857611174,8.0
78,175000000,"['Family', 'Adventure', 'Drama', 'Fantasy']",The Jungle Book,94.199316,2016-04-07,966550600,6.7
79,200000000,"['Adventure', 'Action', 'Science Fiction']",Iron Man 2,77.300194,2010-04-28,623933331,6.6
80,170000000,"['Adventure', 'Fantasy', 'Drama']",Snow White and the Huntsman,77.178973,2012-05-30,396600000,5.8
81,180000000,"['Fantasy', 'Adventure', 'Action', 'Family', 'Romance']",Maleficent,110.620647,2014-05-28,758539785,7.0
82,170000000,"['Science Fiction', 'Action', 'Drama', 'Thriller']",Dawn of the Planet of the Apes,243.791743,2014-06-26,710644566,7.3
83,27000000,"['Action', 'Adventure', 'Science Fiction', 'Romance']",The Lovers,2.418535,2015-02-13,0,4.8
84,175000000,"['Drama', 'Action', 'Adventure', 'Fantasy']",47 Ronin,41.796339,2013-12-06,150962475,5.9
85,170000000,"['Action', 'Adventure', 'Science Fiction']",Captain America: The Winter Soldier,72.225265,2014-03-20,714766572,7.6
86,165000000,"['Comedy', 'Adventure', 'Fantasy', 'Animation', 'Family']",Shrek Forever After,44.041186,2010-05-16,752600867,6.0
87,190000000,"['Adventure', 'Family', 'Mystery', 'Science Fiction']",Tomorrowland,130.311355,2015-05-19,209154322,6.2
88,165000000,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",Big Hero 6,203.73459,2014-10-24,652105443,7.8
89,165000000,"['Family', 'Animation', 'Comedy', 'Adventure']",Wreck-It Ralph,62.341073,2012-11-01,471222889,7.1
90,165000000,"['Adventure', 'Animation', 'Family', 'Fantasy']",The Polar Express,47.323228,2004-11-10,305875730,6.4
91,165000000,"['Action', 'Adventure', 'Science Fiction']",Independence Day: Resurgence,48.775723,2016-06-22,389681935,4.9
92,165000000,"['Fantasy', 'Adventure', 'Animation', 'Family']",How to Train Your Dragon,67.263269,2010-03-05,494878759,7.5
93,200000000,"['Action', 'Thriller', 'Science Fiction']",Terminator 3: Rise of the Machines,69.405188,2003-07-02,435000000,5.9
94,170000000,"['Action', 'Science Fiction', 'Adventure']",Guardians of the Galaxy,481.098624,2014-07-30,773328629,7.9
95,165000000,"['Adventure', 'Drama', 'Science Fiction']",Interstellar,724.247784,2014-11-05,675120017,8.1
96,160000000,"['Action', 'Thriller', 'Science Fiction', 'Mystery', 'Adventure']",Inception,167.58371,2010-07-14,825532764,8.1
97,15000000,"['Action', 'Adventure', 'Drama', 'Horror', 'Science Fiction']",シン・ゴジラ,9.476999,2016-07-29,77000000,6.5
98,250000000,"['Adventure', 'Fantasy', 'Action']",The Hobbit: An Unexpected Journey,108.849621,2012-11-26,1021103568,7.0
99,38000000,"['Action', 'Crime', 'Thriller']",The Fast and the Furious,6.909942,2001-06-22,207283925,6.6
100,150000000,"['Fantasy', 'Drama', 'Thriller', 'Mystery', 'Romance']",The Curious Case of Benjamin Button,60.269279,2008-11-24,333932083,7.3
101,160000000,"['Action', 'Science Fiction', 'Adventure']",X-Men: First Class,3.195174,2011-05-24,353624124,7.1
102,160000000,"['Action', 'Adventure', 'Science Fiction']",The Hunger Games: Mockingjay - Part 2,127.284427,2015-11-18,653428261,6.6
103,150000000,"['Fantasy', 'Adventure', 'Action', 'Comedy', 'Drama']",The Sorcerer's Apprentice,35.580815,2010-07-13,215283742,5.8
104,160000000,"['Adventure', 'Action', 'Drama', 'Thriller']",Poseidon,21.133748,2006-05-12,181674817,5.5
105,170000000,['Fantasy'],Alice Through the Looking Glass,56.268916,2016-05-25,299370084,6.5
106,160000000,"['Fantasy', 'Adventure', 'Animation', 'Comedy', 'Family']",Shrek the Third,42.986467,2007-05-17,798958165,6.0
107,160000000,"['Action', 'Adventure', 'Fantasy']",Warcraft,63.148529,2016-05-25,433677183,6.3
108,155000000,"['Science Fiction', 'Action', 'Thriller', 'Adventure']",Terminator Genisys,202.042635,2015-06-23,440603537,5.8
109,155000000,"['Adventure', 'Family', 'Fantasy']",The Chronicles of Narnia: The Voyage of the Dawn Treader,49.661984,2010-08-13,415686217,6.2
110,140000000,"['History', 'Romance', 'War']",Pearl Harbor,34.20669,2001-05-21,449220945,6.6
111,150000000,"['Adventure', 'Science Fiction', 'Action']",Transformers,25.468493,2007-06-27,709709780,6.6
112,155000000,"['War', 'History', 'Action', 'Adventure', 'Drama', 'Romance']",Alexander,39.019229,2004-11-21,167298192,5.6
113,150000000,"['Adventure', 'Fantasy', 'Family', 'Mystery']",Harry Potter and the Order of the Phoenix,78.144395,2007-06-28,938212738,7.4
114,150000000,"['Adventure', 'Fantasy', 'Family']",Harry Potter and the Goblet of Fire,101.250416,2005-11-05,895921036,7.5
115,150000000,"['Fantasy', 'Action']",Hancock,56.758411,2008-07-01,624029371,6.2
116,150000000,"['Drama', 'Horror', 'Action', 'Thriller', 'Science Fiction']",I Am Legend,70.867401,2007-12-14,585349010,6.9
117,150000000,"['Adventure', 'Comedy', 'Family', 'Fantasy']",Charlie and the Chocolate Factory,53.905592,2005-07-13,474968763,6.7
118,150000000,"['Animation', 'Comedy', 'Family', 'Fantasy']",Ratatouille,65.677399,2007-06-22,623722818,7.5
119,150000000,"['Action', 'Crime', 'Drama']",Batman Begins,115.040024,2005-06-10,374218673,7.5
120,150000000,"['Family', 'Animation']",Madagascar: Escape 2 Africa,44.141021,2008-10-30,603900354,6.2
121,150000000,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']",Night at the Museum: Battle of the Smithsonian,81.781591,2009-05-20,413106170,5.9
122,150000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",X-Men Origins: Wolverine,5.954334,2009-04-28,373062864,6.2
123,150000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",The Matrix Revolutions,73.313918,2003-11-05,424988211,6.4
124,150000000,"['Animation', 'Adventure', 'Family']",Frozen,165.125366,2013-11-27,1274219009,7.3
125,150000000,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",The Matrix Reloaded,70.78591,2003-05-15,738599701,6.7
126,170000000,"['Action', 'Adventure', 'Fantasy']",Thor: The Dark World,99.499595,2013-10-29,644571402,6.8
127,150000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",Mad Max: Fury Road,434.278564,2015-05-13,378858340,7.2
128,150000000,"['Thriller', 'Mystery']",Angels & Demons,67.447636,2009-05-13,356613439,6.5
129,150000000,"['Adventure', 'Fantasy', 'Action']",Thor,86.493424,2011-04-21,449326618,6.6
130,150000000,"['Animation', 'Family', 'Adventure', 'Comedy']",Bolt,41.845878,2008-11-21,309979994,6.3
131,150000000,"['Fantasy', 'Action', 'Adventure', 'Family', 'Comedy']",G-Force,26.710398,2009-07-21,292817841,5.1
132,150000000,['Adventure'],Wrath of the Titans,44.927635,2012-03-27,301000000,5.5
133,150000000,"['Comedy', 'Fantasy']",Dark Shadows,50.306728,2012-05-08,245527149,5.7
134,150000000,"['Action', 'Adventure', 'Thriller']",Mission: Impossible - Rogue Nation,114.522237,2015-07-23,682330139,7.1
135,150000000,"['Drama', 'Horror', 'Thriller']",The Wolfman,21.214571,2010-02-11,0,5.5
136,150000000,"['Family', 'Animation', 'Adventure', 'Comedy']",Bee Movie,29.332905,2007-10-28,287594577,5.7
137,150000000,"['Animation', 'Family']",Kung Fu Panda 2,51.247321,2011-05-25,665692281,6.7
138,150000000,"['Action', 'Adventure', 'Family', 'Fantasy']",The Last Airbender,33.769336,2010-06-30,318502923,4.7
139,150000000,"['Adventure', 'Action', 'Thriller']",Mission: Impossible III,63.079003,2006-05-03,397850012,6.5
140,150000000,"['Action', 'Drama', 'Thriller']",White House Down,39.004588,2013-06-27,205366737,6.4
141,150000000,"['Adventure', 'Animation', 'Family']",Mars Needs Moms,12.362599,2011-03-09,38992758,5.5
142,149000000,"['Adventure', 'Animation', 'Comedy', 'Family']",Flushed Away,22.550135,2006-10-22,64459316,6.0
143,150000000,"['Adventure', 'Family', 'Fantasy']",Pan,48.03528,2015-09-24,128388320,5.9
144,145000000,"['Animation', 'Adventure', 'Family']",Mr. Peabody & Sherman,38.73494,2014-02-07,272912430,6.7
145,175000000,"['Adventure', 'Drama', 'War']",Troy,66.803149,2004-05-13,497409852,6.9
146,145000000,"['Animation', 'Family']",Madagascar 3: Europe's Most Wanted,44.989192,2012-06-06,746921274,6.4
147,140000000,"['Adventure', 'Action', 'Thriller']",Die Another Day,54.159392,2002-11-17,431971116,5.8
148,144000000,"['Action', 'Fantasy', 'Comedy']",Ghostbusters,66.21806,2016-07-14,229147509,5.3
149,140000000,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",Armageddon,58.485967,1998-07-01,553799566,6.4
150,140000000,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",Men in Black II,91.332849,2002-07-03,441818803,6.0
151,70000000,"['Adventure', 'Action', 'Animation']",Beowulf,35.601665,2007-11-05,195735876,5.5
152,145000000,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family']",Kung Fu Panda 3,56.747978,2016-01-23,521170825,6.7
153,145000000,"['Action', 'Thriller', 'Adventure']",Mission: Impossible - Ghost Protocol,77.77477,2011-12-07,694713380,6.8
154,145000000,"['Fantasy', 'Animation', 'Family']",Rise of the Guardians,61.788035,2012-11-21,306941670,7.1
155,100000000,['Comedy'],Fun with Dick and Jane,25.159168,2005-12-21,202026112,5.9
156,140000000,"['Drama', 'Action', 'War', 'History']",The Last Samurai,52.341226,2003-12-05,456758981,7.3
157,140000000,"['Adventure', 'Drama', 'Action']",Exodus: Gods and Kings,101.599427,2014-12-03,268031828,5.6
158,150000000,"['Science Fiction', 'Action', 'Adventure']",Star Trek,73.616808,2009-05-06,385680446,7.4
159,139000000,"['Fantasy', 'Action']",Spider-Man,82.502566,2002-05-01,821708551,6.8
160,145000000,"['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']",How to Train Your Dragon 2,100.21391,2014-06-12,609123048,7.6
161,140000000,['Fantasy'],Gods of Egypt,56.257249,2016-02-25,150680864,5.3
162,135000000,['Action'],Stealth,17.88953,2005-07-28,76932943,4.9
163,130000000,"['Action', 'Mystery', 'Science Fiction']",Watchmen,64.798873,2009-03-05,185258983,7.0
164,140000000,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",Lethal Weapon 4,24.855701,1998-07-10,285444603,6.3
165,137000000,"['Drama', 'Action', 'Science Fiction']",Hulk,34.981698,2003-06-19,245360480,5.3
166,130000000,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",G.I. Joe: Retaliation,59.325589,2013-03-26,371876278,5.4
167,130000000,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery']",Sahara,21.605568,2005-04-06,119269486,5.7
168,137000000,"['Adventure', 'Action', 'Animation', 'Fantasy', 'Science Fiction', 'Thriller']",Final Fantasy: The Spirits Within,26.074908,2001-07-02,85131830,5.9
169,140000000,"['Action', 'Adventure', 'Science Fiction']",Captain America: The First Avenger,74.506246,2011-07-22,370569774,6.6
170,135000000,"['Adventure', 'Action', 'Thriller']",The World Is Not Enough,39.604363,1999-11-08,361832400,6.0
171,150000000,['Adventure'],Master and Commander: The Far Side of the World,36.973031,2003-11-14,212011111,6.9
172,120000000,"['Adventure', 'Fantasy', 'Drama', 'Romance']",The Twilight Saga: Breaking Dawn - Part 2,99.687084,2012-11-13,829000000,6.1
173,130000000,"['Animation', 'Comedy', 'Family']",Happy Feet Two,17.7735,2011-11-17,150406466,5.8
174,150000000,"['Science Fiction', 'Action', 'Adventure']",The Incredible Hulk,62.898336,2008-06-12,163712074,6.1
175,140000000,"['Adventure', 'Family', 'Fantasy']",The BFG,44.19092,2016-06-01,183345589,6.0
176,135000000,"['Western', 'Drama', 'Adventure', 'Thriller']",The Revenant,100.635882,2015-12-25,532950503,7.3
177,135000000,"['Animation', 'Family']",Turbo,44.765377,2013-07-11,282570682,6.1
178,135000000,"['Animation', 'Comedy', 'Family', 'Western', 'Adventure']",Rango,29.91353,2011-03-02,245724603,6.6
179,132000000,"['Family', 'Animation', 'Adventure', 'Comedy']",Penguins of Madagascar,84.366984,2014-11-22,373552094,6.5
180,70000000,"['Action', 'Drama', 'Mystery', 'Thriller']",The Bourne Ultimatum,45.381501,2007-08-03,442824138,7.3
181,130000000,"['Adventure', 'Animation', 'Family', 'Comedy']",Kung Fu Panda,84.689648,2008-06-04,631744560,6.9
182,130000000,"['Science Fiction', 'Action', 'Adventure']",Ant-Man,120.09361,2015-07-14,519311965,7.0
183,130000000,"['Adventure', 'Action', 'Science Fiction']",The Hunger Games: Catching Fire,76.310119,2013-11-15,847423452,7.4
184,135000000,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']",Home,63.473086,2015-03-18,368871007,6.8
185,132000000,"['Adventure', 'Thriller', 'Science Fiction']",War of the Worlds,48.572726,2005-06-28,591739379,6.2
186,130000000,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']",Bad Boys II,38.068736,2003-07-18,273339556,6.3
187,130000000,"['Action', 'Adventure', 'Animation', 'Family', 'Fantasy']",Puss in Boots,20.678787,2011-10-28,554987477,6.4
188,110000000,"['Action', 'Mystery', 'Thriller']",Salt,48.829437,2010-07-21,293329073,6.2
189,125000000,"['Drama', 'Adventure']",Noah,46.115758,2014-03-20,362637473,5.6
190,130000000,"['Adventure', 'Animation', 'Mystery']",The Adventures of Tintin,89.938296,2011-10-25,371940071,6.7
191,130000000,"['Adventure', 'Fantasy', 'Family']",Harry Potter and the Prisoner of Azkaban,79.679601,2004-05-31,789804554,7.7
192,130000000,['Drama'],Australia,28.840997,2008-11-18,49554002,6.3
193,130000000,"['Science Fiction', 'Action', 'Adventure']",After Earth,42.840582,2013-05-30,243843127,5.0
194,127500000,"['Animation', 'Family']",Dinosaur,26.548594,2000-05-19,354248063,6.2
195,127000000,"['Adventure', 'Comedy', 'Fantasy', 'Family']",Night at the Museum: Secret of the Tomb,115.597753,2014-12-17,349424282,6.1
196,130000000,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']",Megamind,68.757242,2010-10-28,321887208,6.7
197,125000000,"['Adventure', 'Fantasy', 'Family']",Harry Potter and the Philosopher's Stone,109.984351,2001-11-16,976475550,7.5
198,130000000,"['Fantasy', 'Action', 'Comedy', 'Crime']",R.I.P.D.,39.448066,2013-07-18,61648500,5.4
199,140000000,"['Adventure', 'Fantasy', 'Action']",Pirates of the Caribbean: The Curse of the Black Pearl,271.972889,2003-07-09,655011224,7.5
200,125000000,"['Science Fiction', 'Adventure', 'Thriller']",The Hunger Games: Mockingjay - Part 1,206.227151,2014-11-18,752100229,6.6
201,125000000,"['Thriller', 'Mystery']",The Da Vinci Code,45.313197,2006-05-17,767820459,6.5
202,103000000,"['Animation', 'Adventure', 'Comedy', 'Family']",Rio 2,42.40024,2014-03-19,500188435,6.3
203,110000000,"['Adventure', 'Action', 'Science Fiction', 'Thriller']",X2,2.871739,2003-04-24,407711549,6.8
204,125000000,"['Action', 'Thriller', 'Crime']",Fast Five,7.255718,2011-04-20,626137675,7.1
205,125000000,"['Adventure', 'Action', 'Crime', 'Mystery']",Sherlock Holmes: A Game of Shadows,81.499621,2011-11-22,334615000,7.0
206,125000000,"['Adventure', 'Fantasy', 'Action']",Clash of the Titans,47.686442,2010-04-01,232713139,5.6
207,65000000,"['Action', 'Adventure', 'Science Fiction']",Total Recall,43.129703,1990-06-01,261317921,7.1
208,160000000,"['Adventure', 'Fantasy', 'Action']",The 13th Warrior,27.220157,1999-08-27,61698899,6.4
209,130000000,"['Action', 'Thriller']",The Bourne Legacy,90.33681,2012-08-08,276572938,6.0
210,125000000,"['Action', 'Crime', 'Fantasy']",Batman & Robin,50.073575,1997-06-20,238207122,4.2
211,123000000,"['Family', 'Comedy', 'Fantasy']",How the Grinch Stole Christmas,45.419668,2000-11-17,345141403,6.2
212,125000000,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",The Day After Tomorrow,41.380094,2004-05-26,544272402,6.2
213,125000000,"['Adventure', 'Action', 'Thriller']",Mission: Impossible II,54.931334,2000-05-24,546388105,5.9
214,120000000,['Drama'],The Perfect Storm,25.752118,2000-03-15,325756637,6.2
215,130000000,"['Adventure', 'Fantasy', 'Action', 'Thriller']",4: Rise of the Silver Surfer,60.810723,2007-06-13,289047763,5.4
216,120000000,"['Adventure', 'Drama', 'Action']",Life of Pi,51.328145,2012-11-20,609016565,7.2
217,110000000,"['Thriller', 'Action', 'Fantasy', 'Horror']",Ghost Rider,46.834704,2007-02-16,228738393,5.2
218,120000000,"['Action', 'Thriller']",Jason Bourne,62.641286,2016-07-27,415484914,5.9
219,120000000,"['Action', 'Adventure', 'Comedy']",Charlie's Angels: Full Throttle,33.616115,2003-06-27,259175788,5.2
220,130000000,"['Science Fiction', 'Adventure', 'Mystery']",Prometheus,68.889395,2012-05-30,403170142,6.3
221,120000000,"['Family', 'Adventure', 'Animation', 'Comedy']",Stuart Little 2,27.990284,2002-07-19,169956806,5.4
222,115000000,"['Science Fiction', 'Action', 'Drama', 'Thriller']",Elysium,67.33767,2013-08-07,286140700,6.4
223,105000000,"['Action', 'Science Fiction']",The Chronicles of Riddick,27.835436,2004-06-11,115772733,6.3
224,120000000,"['Action', 'Science Fiction']",RoboCop,66.757869,2014-01-30,242688965,5.7
225,120000000,"['Action', 'Family', 'Science Fiction']",Speed Racer,17.060695,2008-05-09,93945766,5.7
226,120000000,"['Comedy', 'Drama', 'Romance']",How Do You Know,11.137655,2010-12-17,48668907,4.9
227,117000000,"['Action', 'Comedy']",Knight and Day,44.906918,2010-06-15,261930431,5.9
228,120000000,"['Action', 'Science Fiction', 'Adventure', 'Mystery']",Oblivion,67.698004,2013-04-10,286168572,6.4
229,113000000,"['Science Fiction', 'Adventure', 'Action']",Star Wars: Episode III - Revenge of the Sith,44.108427,2005-05-17,850000000,7.1
230,120000000,"['Adventure', 'Action', 'Science Fiction']",Star Wars: Episode II - Attack of the Clones,43.987061,2002-05-15,649398328,6.4
231,115000000,"['Animation', 'Comedy', 'Family']","Monsters, Inc.",106.815545,2001-11-01,562816256,7.5
232,120000000,"['Action', 'Science Fiction', 'Adventure', 'Fantasy']",The Wolverine,15.953444,2013-07-23,415440673,6.3
233,115000000,"['Adventure', 'Action', 'Science Fiction']",Star Wars: Episode I - The Phantom Menace,54.035265,1999-05-19,924317558,6.3
234,135000000,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",The Croods,64.183321,2013-03-20,585178928,6.8
235,97250400,"['Fantasy', 'Adventure', 'Comedy', 'Family']",Astérix aux Jeux Olympiques,20.344364,2008-01-13,132900000,5.0
236,115000000,"['Drama', 'Action', 'History', 'War']",Windtalkers,18.714197,2002-06-14,77628265,5.8
